VARIABLE_MAP,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,OUTPUT_INCLUDE,OUTPUT_NAME,OUTPUT_UNITS,OUTPUT_SCALE,OUTPUT_FILL,USER_FUNC
NULL,iC5H12_MoleFraction_PFP,ppt,1.0,-999999.0,1,iC5H12_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,CH4C13_PFP,per mil,1.0,-999999.0,1,CH4C13_PFP,per mil,1.0,-999999.0,NULL
NULL,F32_MoleFraction_PFP,ppt,1.0,-999999.0,1,F32_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,FC12_MoleFraction_PFP,ppt,1.0,-999999.0,1,FC12_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,nC6H14_MoleFraction_PFP,ppt,1.0,-999999.0,1,nC6H14_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,nC5H12_MoleFraction_PFP,ppt,1.0,-999999.0,1,nC5H12_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,H2O_RelativeHumidity_Nav,%,1.0,-999999.0,1,H2O_RelativeHumidity_Nav,%,1.0,-999999.0,NULL
NULL,GroundHeight_CPL,km,1.0,-999999.0,1,GroundHeight_CPL,km,1.0,-999999.0,NULL
NULL,CO2C14_PFP,per mil,1.0,-999999.0,1,CO2C14_PFP,per mil,1.0,-999999.0,NULL
NULL,UTC,s,1.0,nan,1,UTC,s,1.0,nan,NULL
NULL,C2F6_MoleFraction_PFP,ppt,1.0,-999999.0,1,C2F6_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
NULL,TOL_MoleFraction_PFP,ppt,1.0,-999999.0,1,TOL_MoleFraction_PFP,ppt,1.0,-999999.0,NULL
